user_id,target_domain,target_role,owned_skills,user_experience,user_education
U-0067,Data Science & AI,AI Engineer,"[""Python"", ""Git"", ""OpenAI API"", ""LangChain""]",1 - 3 Tahun,S1/D4
U-0068,Quality Assurance (QA) & Testing,Automation QA,"[""TestNG"", ""Postman"", ""Python"", ""Playwright"", ""Selenium"", ""Git""]",1 - 3 Tahun,S2/S3
U-0069,Mobile Development,Flutter Engineer,"[""BLoC""]",1 - 3 Tahun,S2/S3
U-0070,Cloud & DevOps,Cloud Engineer,"[""GCP"", ""Python"", ""AWS"", ""Azure""]",Belum ada pengalaman,D3
U-0071,Data Science & AI,Data Analyst,"[""SQL"", ""NumPy"", ""Git"", ""Pandas"", ""Tableau""]",Belum ada pengalaman,D3
U-0072,Quality Assurance (QA) & Testing,Automation QA,"[""Git"", ""Postman"", ""Selenium""]",1 - 3 Tahun,S2/S3
U-0073,Data Science & AI,AI Engineer,"[""HuggingFace"", ""Python"", ""LangChain"", ""Vector DB""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0074,Cyber Security,Security Analyst,"[""Firewall"", ""Threat Intelligence"", ""Linux"", ""SIEM"", ""Log Analysis"", ""Incident Response""]",1 - 3 Tahun,S2/S3
U-0075,Web Development,Fullstack Engineer,"[""REST API"", ""TypeScript"", ""PostgreSQL"", ""JavaScript"", ""HTML"", ""NodeJS""]",< 1 Tahun,S1/D4
U-0076,Cyber Security,Security Analyst,"[""Log Analysis"", ""Linux"", ""Firewall"", ""Incident Response""]",> 3 Tahun,S1/D4
U-0077,Web Development,Frontend Engineer,"[""Next.js"", ""ReactJS"", ""TypeScript""]",< 1 Tahun,D3
U-0078,Data Science & AI,Data Scientist,"[""Git"", ""Scikit-Learn""]",1 - 3 Tahun,S2/S3
U-0079,Cloud & DevOps,SRE,"[""Docker""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0080,Cyber Security,Security Analyst,"[""Firewall"", ""Linux"", ""Threat Intelligence"", ""Networking"", ""IDS/IPS""]",Belum ada pengalaman,SMA/SMK
U-0081,Cyber Security,Security Analyst,"[""Log Analysis"", ""Python"", ""Threat Intelligence"", ""Incident Response"", ""Networking""]",1 - 3 Tahun,S1/D4
U-0082,Web Development,Backend Engineer,"[""NodeJS"", ""REST API"", ""Python""]",< 1 Tahun,D3
U-0083,Quality Assurance (QA) & Testing,Automation QA,"[""Git""]",1 - 3 Tahun,S1/D4
U-0084,Mobile Development,iOS Developer,"[""Xcode"", ""REST API"", ""Git""]",Belum ada pengalaman,SMA/SMK
U-0085,Cloud & DevOps,DevOps Engineer,"[""Python"", ""Jenkins""]",> 3 Tahun,S1/D4
U-0086,Web Development,Fullstack Engineer,"[""MySQL"", ""PostgreSQL"", ""REST API"", ""Git"", ""NodeJS""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0087,Data Science & AI,AI Engineer,"[""Git"", ""Docker"", ""HuggingFace"", ""SQL"", ""Python"", ""LangChain""]",Belum ada pengalaman,SMA/SMK
U-0088,Data Science & AI,Machine Learning Engineer,"[""PyTorch""]",1 - 3 Tahun,S1/D4
U-0089,Web Development,Fullstack Engineer,"[""ReactJS"", ""NodeJS"", ""TypeScript"", ""Git"", ""Docker"", ""REST API""]",> 3 Tahun,S1/D4
U-0090,Data Science & AI,Data Scientist,"[""Python"", ""TensorFlow"", ""Statistics"", ""Scikit-Learn"", ""R""]",Belum ada pengalaman,S1/D4
U-0091,Mobile Development,iOS Developer,"[""Objective-C"", ""Firebase"", ""Git"", ""SwiftUI""]",1 - 3 Tahun,S2/S3
U-0092,Quality Assurance (QA) & Testing,Manual QA,"[""Agile/Scrum"", ""Test Case Writing""]",Belum ada pengalaman,S1/D4
U-0093,UI/UX Design,Product Designer,"[""Accessibility"", ""Adobe XD"", ""User Research"", ""Wireframing""]",< 1 Tahun,D3
U-0094,Data Science & AI,Data Analyst,"[""Python"", ""Pandas"", ""Power BI""]",< 1 Tahun,S1/D4
U-0095,Cyber Security,DevSecOps,"[""AWS"", ""Kubernetes"", ""SAST"", ""Docker""]",1 - 3 Tahun,S2/S3
U-0096,Web Development,Frontend Engineer,"[""Bootstrap""]",> 3 Tahun,S1/D4
U-0097,Web Development,Backend Engineer,"[""REST API"", ""Express""]",1 - 3 Tahun,D3
U-0098,Web Development,Backend Engineer,"[""MySQL"", ""PostgreSQL""]",> 3 Tahun,S1/D4
U-0099,UI/UX Design,UI Designer,"[""Typography""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0100,Web Development,Frontend Engineer,"[""Next.js"", ""Bootstrap"", ""Vue.js"", ""ReactJS"", ""JavaScript""]",< 1 Tahun,S1/D4
U-0101,Quality Assurance (QA) & Testing,Automation QA,"[""Postman""]",Belum ada pengalaman,D3
U-0102,Quality Assurance (QA) & Testing,Automation QA,"[""Java"", ""Jira"", ""Cypress"", ""Python"", ""Postman""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0103,UI/UX Design,UI Designer,"[""Illustrator""]",Belum ada pengalaman,SMA/SMK
U-0104,Data Science & AI,Data Scientist,"[""SQL""]",> 3 Tahun,S2/S3
U-0105,UI/UX Design,Product Designer,"[""Figma"", ""Miro"", ""Agile/Scrum""]",< 1 Tahun,D3
U-0106,Mobile Development,Flutter Engineer,"[""Dart""]",1 - 3 Tahun,D3
U-0107,Web Development,Backend Engineer,"[""PostgreSQL"", ""NodeJS"", ""Express"", ""PHP""]",Belum ada pengalaman,S1/D4
U-0108,Mobile Development,Flutter Engineer,"[""Firebase"", ""Flutter"", ""BLoC"", ""REST API"", ""GetX""]",< 1 Tahun,D3
U-0109,Quality Assurance (QA) & Testing,SDET,"[""Selenium"", ""JMeter"", ""Git"", ""Docker"", ""Java""]",1 - 3 Tahun,D3
U-0110,Web Development,Backend Engineer,"[""REST API"", ""Python""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0111,Data Science & AI,Data Analyst,"[""NumPy"", ""Tableau"", ""Python""]",Belum ada pengalaman,SMA/SMK
U-0112,Quality Assurance (QA) & Testing,Manual QA,"[""Postman""]",1 - 3 Tahun,S2/S3
U-0113,Mobile Development,Android Developer,"[""Java"", ""Jetpack Compose""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0114,Data Science & AI,Machine Learning Engineer,"[""Git"", ""SQL""]",Belum ada pengalaman,D3
U-0115,Data Science & AI,Data Scientist,"[""Jupyter"", ""TensorFlow"", ""Pandas"", ""NumPy"", ""Matplotlib"", ""SQL""]",1 - 3 Tahun,D3
U-0116,Data Science & AI,Machine Learning Engineer,"[""Git"", ""SQL""]",1 - 3 Tahun,S1/D4
U-0117,Cloud & DevOps,DevOps Engineer,"[""Docker"", ""Jenkins"", ""Terraform"", ""Python""]",> 3 Tahun,S2/S3
U-0118,Data Science & AI,Machine Learning Engineer,"[""Python"", ""Docker""]",< 1 Tahun,S1/D4
U-0119,Quality Assurance (QA) & Testing,Automation QA,"[""Git"", ""Java"", ""TestNG"", ""Playwright"", ""Jira"", ""Postman""]",1 - 3 Tahun,D3
U-0120,Cloud & DevOps,DevOps Engineer,"[""Ansible"", ""Linux""]",Belum ada pengalaman,S1/D4
U-0121,UI/UX Design,UI Designer,"[""Illustrator"", ""Sketch"", ""Color Theory"", ""Prototyping""]",Belum ada pengalaman,S1/D4
U-0122,Cyber Security,Security Analyst,"[""Python"", ""Firewall""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0123,Cyber Security,Security Analyst,"[""IDS/IPS""]",> 3 Tahun,S2/S3
U-0124,Data Science & AI,Data Scientist,"[""Jupyter"", ""Pandas"", ""SQL"", ""TensorFlow""]",> 3 Tahun,S2/S3
U-0125,Quality Assurance (QA) & Testing,Automation QA,"[""Playwright"", ""Java"", ""Jira"", ""Cypress""]",> 3 Tahun,S1/D4
U-0126,Quality Assurance (QA) & Testing,SDET,"[""Git"", ""Performance Testing"", ""Appium"", ""Java"", ""Selenium""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0127,Quality Assurance (QA) & Testing,Automation QA,"[""Jira"", ""Python"", ""TestNG"", ""Selenium""]",1 - 3 Tahun,S1/D4
U-0128,Web Development,Frontend Engineer,"[""TailwindCSS"", ""Next.js"", ""ReactJS"", ""Vue.js"", ""Bootstrap"", ""TypeScript""]",< 1 Tahun,S1/D4
U-0129,Mobile Development,Android Developer,"[""Firebase"", ""Git"", ""Room DB"", ""Android SDK"", ""MVVM"", ""Jetpack Compose""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0130,Cloud & DevOps,Cloud Engineer,"[""GCP"", ""Linux"", ""Azure"", ""Python""]",> 3 Tahun,S1/D4
U-0131,Cloud & DevOps,SRE,"[""Docker"", ""Terraform"", ""Git"", ""Prometheus"", ""CI/CD""]",Belum ada pengalaman,SMA/SMK
U-0132,Cyber Security,DevSecOps,"[""SAST"", ""Linux"", ""Kubernetes"", ""Docker"", ""Python"", ""AWS""]",> 3 Tahun,S1/D4
U-0133,Cyber Security,Penetration Tester,"[""Kali Linux"", ""OWASP"", ""Wireshark"", ""Burp Suite""]",Belum ada pengalaman,SMA/SMK
U-0134,Mobile Development,Flutter Engineer,"[""Provider"", ""BLoC"", ""Git"", ""GetX"", ""Flutter""]",< 1 Tahun,S1/D4
U-0135,UI/UX Design,UX Researcher,"[""Maze"", ""User Interview"", ""Survey Design"", ""Figma"", ""Usability Testing""]",> 3 Tahun,S1/D4
U-0136,Cloud & DevOps,DevOps Engineer,"[""Linux"", ""Jenkins"", ""Ansible"", ""Python""]",1 - 3 Tahun,D3
U-0137,UI/UX Design,Product Designer,"[""Wireframing"", ""Agile/Scrum"", ""Adobe XD"", ""Miro"", ""Accessibility"", ""User Research""]",> 3 Tahun,S1/D4
U-0138,Quality Assurance (QA) & Testing,Manual QA,"[""Bug Reporting"", ""Postman"", ""API Testing"", ""SQL"", ""Jira""]",Belum ada pengalaman,D3
U-0139,Cyber Security,DevSecOps,"[""Python"", ""Kubernetes"", ""Git""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0140,Cyber Security,DevSecOps,"[""DAST"", ""Linux"", ""Kubernetes"", ""Git""]",> 3 Tahun,S2/S3
U-0141,UI/UX Design,UI Designer,"[""Color Theory"", ""Wireframing"", ""Adobe XD"", ""Prototyping""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0142,Web Development,Frontend Engineer,"[""Next.js""]",Belum ada pengalaman,D3
U-0143,Mobile Development,Flutter Engineer,"[""Dart""]",> 3 Tahun,S1/D4
U-0144,Cloud & DevOps,SRE,"[""Git"", ""Kubernetes"", ""Docker""]",< 1 Tahun,D3
U-0145,Data Science & AI,Machine Learning Engineer,"[""Scikit-Learn"", ""Pandas"", ""SQL""]",> 3 Tahun,S1/D4
U-0146,UI/UX Design,UX Researcher,"[""User Interview"", ""Miro"", ""Figma"", ""Survey Design"", ""Personas""]",1 - 3 Tahun,D3
U-0147,UI/UX Design,UI Designer,"[""Illustrator""]",> 3 Tahun,S1/D4
U-0148,Web Development,Frontend Engineer,"[""Bootstrap"", ""CSS"", ""Git""]",> 3 Tahun,S1/D4
U-0149,Mobile Development,Flutter Engineer,"[""Dart"", ""Flutter"", ""BLoC"", ""Firebase"", ""Hive"", ""Provider""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0150,Cloud & DevOps,DevOps Engineer,"[""Kubernetes"", ""Linux"", ""Docker"", ""Ansible""]",Belum ada pengalaman,SMA/SMK
U-0151,Data Science & AI,Machine Learning Engineer,"[""TensorFlow"", ""Scikit-Learn""]",1 - 3 Tahun,S2/S3
U-0152,UI/UX Design,UX Researcher,"[""Data Analysis"", ""Miro"", ""User Interview""]",Belum ada pengalaman,D3
U-0153,Mobile Development,Android Developer,"[""Git""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0154,Cloud & DevOps,SRE,"[""CI/CD""]",Belum ada pengalaman,D3
U-0155,Cloud & DevOps,DevOps Engineer,"[""Kubernetes""]",1 - 3 Tahun,S1/D4
U-0156,Web Development,Fullstack Engineer,"[""Docker""]",Belum ada pengalaman,D3
U-0157,Data Science & AI,Data Analyst,"[""Power BI"", ""Python"", ""Tableau"", ""Data Visualization"", ""Excel""]",Belum ada pengalaman,D3
U-0158,Cloud & DevOps,SRE,"[""Docker"", ""Python"", ""Git"", ""Kubernetes"", ""CI/CD"", ""Incident Management""]",> 3 Tahun,S2/S3
U-0159,Mobile Development,Android Developer,"[""Java"", ""Jetpack Compose"", ""MVVM"", ""Git""]",1 - 3 Tahun,S1/D4
U-0160,Cyber Security,Security Analyst,"[""Firewall"", ""Log Analysis"", ""Incident Response"", ""IDS/IPS""]",Belum ada pengalaman,SMA/SMK
U-0161,UI/UX Design,UX Researcher,"[""User Interview"", ""Journey Mapping"", ""Figma""]",1 - 3 Tahun,D3
U-0162,Data Science & AI,Data Scientist,"[""Pandas""]",1 - 3 Tahun,D3
U-0163,Web Development,Fullstack Engineer,"[""CSS"", ""MySQL""]",< 1 Tahun,S1/D4
U-0164,Web Development,Backend Engineer,"[""Docker"", ""MySQL"", ""Python"", ""Git"", ""Express""]",> 3 Tahun,S2/S3
U-0165,Quality Assurance (QA) & Testing,Automation QA,"[""Python"", ""Playwright"", ""Jira""]",> 3 Tahun,S2/S3
U-0166,Web Development,Frontend Engineer,"[""Vue.js"", ""TypeScript""]",> 3 Tahun,S1/D4
U-0167,UI/UX Design,UX Researcher,"[""Data Analysis"", ""Miro"", ""Survey Design"", ""Journey Mapping"", ""Usability Testing""]",> 3 Tahun,S2/S3
U-0168,Cloud & DevOps,DevOps Engineer,"[""Git"", ""GitLab CI"", ""Docker"", ""Python"", ""Jenkins""]",Belum ada pengalaman,S1/D4
U-0169,Cyber Security,Security Analyst,"[""Linux"", ""Firewall"", ""Networking""]",1 - 3 Tahun,S2/S3
U-0170,Mobile Development,Android Developer,"[""MVVM"", ""Java""]",> 3 Tahun,S1/D4
U-0171,Cyber Security,Security Analyst,"[""Python"", ""Linux""]",1 - 3 Tahun,D3
U-0172,Mobile Development,iOS Developer,"[""Git""]",Belum ada pengalaman,SMA/SMK
U-0173,Web Development,Backend Engineer,"[""Laravel"", ""Express"", ""Django"", ""NodeJS"", ""MySQL"", ""Git""]",> 3 Tahun,S1/D4
U-0174,Mobile Development,Android Developer,"[""Room DB"", ""MVVM"", ""Git"", ""Kotlin"", ""REST API"", ""Firebase""]",> 3 Tahun,S2/S3
U-0175,Cloud & DevOps,SRE,"[""Python""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0176,Data Science & AI,Data Scientist,"[""Statistics""]",> 3 Tahun,S1/D4
U-0177,Data Science & AI,Data Analyst,"[""Pandas""]",< 1 Tahun,D3
U-0178,Data Science & AI,Data Scientist,"[""SQL"", ""Git"", ""Jupyter"", ""Matplotlib"", ""Statistics""]",Belum ada pengalaman,S1/D4
U-0179,Cyber Security,Security Analyst,"[""Threat Intelligence"", ""Firewall""]",1 - 3 Tahun,S2/S3
U-0180,Cloud & DevOps,SRE,"[""Kubernetes"", ""Git"", ""Python""]",Belum ada pengalaman,SMA/SMK
U-0181,UI/UX Design,Product Designer,"[""Adobe XD"", ""Prototyping"", ""Accessibility""]",1 - 3 Tahun,D3
U-0182,UI/UX Design,UI Designer,"[""Sketch"", ""Figma""]",1 - 3 Tahun,D3
U-0183,Mobile Development,iOS Developer,"[""Xcode"", ""CoreData""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0184,Mobile Development,Android Developer,"[""REST API"", ""MVVM"", ""Firebase"", ""Kotlin"", ""Git"", ""Jetpack Compose""]",< 1 Tahun,D3
U-0185,Data Science & AI,Data Analyst,"[""Python""]",1 - 3 Tahun,D3
U-0186,Cloud & DevOps,DevOps Engineer,"[""Ansible"", ""GitLab CI"", ""Terraform"", ""Docker"", ""Python"", ""Jenkins""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0187,Quality Assurance (QA) & Testing,Manual QA,"[""SQL"", ""Jira"", ""Postman"", ""API Testing"", ""Agile/Scrum"", ""Bug Reporting""]",1 - 3 Tahun,S2/S3
U-0188,UI/UX Design,UI Designer,"[""Figma"", ""Prototyping"", ""Color Theory"", ""Sketch"", ""Design System""]",< 1 Tahun,D3
U-0189,Cyber Security,Penetration Tester,"[""OWASP"", ""Kali Linux"", ""Wireshark""]",< 1 Tahun,S1/D4
U-0190,Cloud & DevOps,SRE,"[""Prometheus""]",Belum ada pengalaman,D3
U-0191,Quality Assurance (QA) & Testing,SDET,"[""CI/CD"", ""API Testing"", ""Appium"", ""Docker"", ""Performance Testing""]",> 3 Tahun,S1/D4
U-0192,Mobile Development,iOS Developer,"[""Firebase"", ""CoreData"", ""SwiftUI"", ""Xcode"", ""UIKit""]",1 - 3 Tahun,S2/S3
U-0193,Quality Assurance (QA) & Testing,Manual QA,"[""SQL"", ""Bug Reporting"", ""API Testing"", ""Test Case Writing"", ""Postman""]",> 3 Tahun,S1/D4
U-0194,UI/UX Design,UX Researcher,"[""Usability Testing"", ""Journey Mapping"", ""Figma""]",> 3 Tahun,S1/D4
U-0195,UI/UX Design,UI Designer,"[""Sketch"", ""Illustrator"", ""Wireframing"", ""Adobe XD""]",< 1 Tahun,S1/D4
U-0196,Quality Assurance (QA) & Testing,Automation QA,"[""Git"", ""Selenium"", ""Cypress""]",> 3 Tahun,S2/S3
U-0197,Data Science & AI,AI Engineer,"[""PyTorch"", ""OpenAI API"", ""Docker"", ""FastAPI""]",Belum ada pengalaman,S1/D4
U-0198,Cloud & DevOps,SRE,"[""Prometheus""]",1 - 3 Tahun,D3
U-0199,UI/UX Design,UI Designer,"[""Design System"", ""Wireframing"", ""Typography"", ""Sketch"", ""Illustrator""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0200,Cloud & DevOps,DevOps Engineer,"[""Terraform"", ""Git"", ""Python""]",> 3 Tahun,S1/D4
U-0201,Mobile Development,Android Developer,"[""Firebase"", ""Android SDK"", ""Java"", ""REST API"", ""Git""]",1 - 3 Tahun,D3
U-0202,Data Science & AI,Machine Learning Engineer,"[""Python"", ""Kubernetes"", ""MLflow"", ""Git"", ""Scikit-Learn""]",< 1 Tahun,S1/D4
U-0203,Web Development,Fullstack Engineer,"[""MySQL"", ""ReactJS"", ""PostgreSQL""]",Belum ada pengalaman,S1/D4
U-0204,Cloud & DevOps,DevOps Engineer,"[""Python"", ""Terraform"", ""Docker""]",> 3 Tahun,S1/D4
U-0205,Quality Assurance (QA) & Testing,Automation QA,"[""Postman"", ""Selenium"", ""Python"", ""Git"", ""Cypress""]",1 - 3 Tahun,S1/D4
U-0206,Web Development,Frontend Engineer,"[""ReactJS"", ""JavaScript""]",1 - 3 Tahun,S2/S3
